任务编号,任务名（方便管理),通关获得物品(场景ID:物品:数量:几率@场景ID:物品:数量:几率),指定怪物产出物品(怪物ID:物品:数量:几率@怪物ID:物品:数量:几率),收集指定物品(物品:数量@物品:数量),是否保留任务物品(1保留 0删除),击杀指定怪物(怪物ID:数量@怪物ID:数量),后续任务ID,前续任务ID（用于判定该任务是否可接取）,接取成功时候追加任务（任务接取成功时候）,后续支线任务（主线任务交付成功后可用）,任务天数（7日礼包使用）,接取任务成功时候的引导,交付任务成功时候的引导,接取任务开放功能(变量),交付任务开放功能(变量),是否已经被删除不用,任务比较范围和显示先后,是否接取任务后就可交付,是否可自动接取,是否可自动交付,任务添加先后（支线任务任务追踪使用）,任务追踪显示,可交付时点击交付(非自动交付使用),任务类型,公会任务任务类型（1打败NPC，2搜集物资，3通关场景，4指定地图使用道具，5购买特殊商品）,是否是礼包类任务,任务重复次数,任务等级,接任务NPC（游戏中唯一）,完成任务NPC（游戏中唯一）,接取任务给予物品,任务名称,任务目标描述,任务追加描述,任务奖励金钱,任务奖励经验,任务奖励蓝钻,任务奖励魔力精华,任务奖励荣誉值,任务奖励体力,任务奖励活跃度,任务奖励公会贡献度,任务奖励物品,任务职业奖励物品,任务目标地图编号,任务目标场景编号,多任务场景ID(场景ID:场景ID:场景ID),任务所需物品,公会任务搜集物品,公会任务使用特定物品,公会任务购买特定物品,任务目标传送点,任务总次数,任务初始次数,完成需要蓝钻,是否特别显示,交付任务点击脚本函数,点击脚本函数,领取后有引导,完成后有引导,完成提示ID,功能提示字符串ID,特殊显示ID,赏金任务描述显示,ICON显示类型,任务次级类型,任务类型系数,随机重复次数,随机重复次数,任务等级范围,任务等级范围,赏金经验,赏金金币,赏金蓝钻,赏金魔力,赏金精灵口粮
2005,森林树妖,,,,,,2006,2004,,,,,,,,,,0,1,0,,,,1,,,0,10,,N_刺客米娜（时光森林）,,52100,52752,,800,6400,,,,,,,10_2_boots:1,,2,2003,,,,,,N_副本传送点2,1,,,,,,,,,,,,,,,,,,,,,,,
2006,迷雾花丛,,,,,,2007,2005,,,,,,,,,,0,0,1,,,,1,,,0,11,N_刺客米娜（时光森林）,,,52110,52753,,900,6900,,,,,,,10_2_clothes:1,,2,2004,,,,,,N_副本传送点2,1,,,,,,,,,,,,,,,,,,,,,,,
2007,我的精灵,,,,,,2008,2006,,,,guide_open_jingling_over_3,,mainbar_hicon_5,,,,0,0,0,,,,1,,,0,12,N_刺客米娜（时光森林）,N_刺客米娜（时光森林）,,50624,50625,,1000,8500,,,,,,,10_2_shoulder:1,,2,801,,,,,,N_战前传送阵,1,,,,,guide_openspiritpage,,,,,,,,,,,,,,,,,,
2008,喂养精灵,,,,,,2009,2007,,,,guide_open_jingling_libao,guide_shangjintask,,mainbar_vicon_2:function_reward_task,,,1,0,0,,,,1,,,0,13,N_刺客米娜（时光森林）,N_刺客米娜（时光森林）,,50664,52754,,1000,8500,,,,,,,10_2_necklace:1,,2,801,,,,,,N_战前传送阵,1,,,,,guide_openspiritpage,,,,,,,,,,,,,,,,,,
2009,尖刺树荫,,,,,,3000,2008,,,,,guide_open_jingling_weiyang,,,,,0,1,0,,,,1,,,0,13,,N_刺客米娜（时光森林）,,52120,52755,,1200,7600,,,,,,,10_2_ring:1,,2,2005,,,,,,N_副本传送点2,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,森林秘境,,,,,,3003,2009,,,,,guide_open_gonghui,,mainbar_hicon_2,,,1,0,0,,,,1,,,0,13,N_刺客米娜（时光森林）,N_刺客米娜（森林密境）,,52130,52131,,1400,8500,,,,,,,10_2_belt:1,,3,802,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
3003,泣血树林,,,,,,3004,3000,,,,,,mainbar_hicon_1,,,,0,0,1,,,,1,,,0,14,N_刺客米娜（森林密境）,,,52140,52757,,1600,7900,,,,,,,,,3,3001,,,,,,N_副本传送点3,1,,,,,,,,,,,,,,,,,,,,,,,
3004,灌木密林,,,,,,3002,3003,,,,guide_open_dailytask,,function_dailytask,function_offlinevs,,,0,0,1,,,,1,,,0,15,N_刺客米娜（森林密境）,,,52150,52758,,2000,8900,,,,,,,jinglingkouliang1:1@,,3,3002,,,,,,N_副本传送点3,1,,,,,,,,,,,,,,,,,,,,,,,
3002,竞技天梯,,,,,,3005,3004,,,,guide_open_dailytask_tianti,guide_rongyubiduihuan,,,,,0,0,0,,,,1,,,0,15,N_刺客米娜（森林密境）,N_刺客米娜（森林密境）,,50428,50429,,1800,8400,,,500,,,,,,3,802,,,,,,N_战前传送阵,1,,,,,guide_rongyaozhilu,,,,,,,,,,,,,,,,,,
3005,森林守卫,,,,,,3006,3002,,,,guide_choujiang,,function_choujiang,,,,0,0,0,,,,1,,,0,16,N_刺客米娜（森林密境）,N_刺客米娜（森林密境）,,52160,52759,,2200,8900,,,,,,,,,3,3003,,,,,,N_副本传送点3,1,,,,,,,,,,,,,,,,,,,,,,,
3006,树精部落,,,,,,3007,3005,,,,,,,,,,0,1,0,,,,1,,,0,17,,N_刺客米娜（森林密境）,,52170,52760,,2400,9900,,,,,,,,,3,3004,,,,,,N_副本传送点3,1,,,,,,,,,,,,,,,,,,,,,,,
3007,灵魂觉醒,,,,,,3008,3006,,,,,guide_enterscene969,,,,,1,0,0,,,,1,,,0,17,N_刺客米娜（森林密境）,导师,,52171,52172,,2400,10000,,,,,,,saodangjuanzhou:10,,0,1113,,,,,,N_副本传送点3,1,,,,,,,,,,,,,,,,,,,,,,,
3008,魂器培养,,,,,,3009,3007,,,,hunqi_open_getgoods,hunqi_open_guide,mainbar_hicon_9,,,,0,0,0,,,,1,,,0,17,导师,导师,,52173,52174,,2400,10000,,,,,,,hunqicailiao_huoyan:4@swfy_suipian:30,,2,2005,,,,,,N_副本传送点2,1,,,,,,,,,,,,,,,,,,,,,,,
3009,灵魂之歌,,,,,,3010,3008,,,,,,,,,,1,0,0,,,,1,,,0,17,导师,N_刺客米娜（森林密境）,,52175,52176,,2400,10000,,,,,,,,,3,802,,,,,,N_副本传送点,1,,,,,,,,,,,,,,,,,,,,,,,
3010,丛林之心,,,,,,3011,3009,,,,,,,,,,0,1,1,,,,1,,,0,17,,,,52180,52761,,2600,10000,,400,,,,,tilidan5:4,,3,3005,,,,,,N_副本传送点3,1,,,,,,,,,,,,,,,,,,,,,,,
3011,补充体力,,,,,,4000,3010,,,,guide_usetiliyaohsui,,,function_huodong,,,1,0,0,,,1,1,,,0,18,N_刺客米娜（森林密境）,,,52190,52754,,2600,11000,,,,,,,,,3,802,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4000,山脉之旅,,,,,,4003,3011,,,,guide_firstzuduifuben,,mainbar_hicon_0,,,,1,0,0,,,,1,,,0,19,N_刺客米娜（森林密境）,N_艾尔希娅（山脉之旅）,,52690,52762,,2500,22000,,,,,,,,,4,803,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
4003,山脉小道,,,,,,4004,4000,,210015,,guide_lanzhuanchoujiang,guide_equip_inlay,function_pray:function_upstar,function_inlay:function_gemcom,,,0,1,0,,,,1,,,0,20,,N_艾尔希娅（山脉之旅）,,52200,52764,,3000,80000,,400,,,,,gongjishi1:1,,4,4001,,,,,,N_副本传送点4,1,,,,,,,,,,,,,,,,,,,,,,,
4004,岩之魔熊,,,,,,4005,4003,,,,guide_sprite_pos_desc,,,,,,0,0,1,,,,1,,,0,21,N_艾尔希娅（山脉之旅）,,,52210,52765,,3500,45000,,400,,,,,20_3_clothes:1@fangyushi1:1@,,4,4002,,,,,,N_副本传送点4,1,,,,,,,,,,,,,,,,,,,,,,,
4005,防御宝石,,,,,,4006,4004,,,,,,,,,,0,1,0,,,1,1,,,0,21,,,,54500,54501,,3500,45000,,,,,,,,,4,803,,,,,,N_战前传送阵,1,,,,,zhuangbei_xiangqian_fangyushi,,,,,,,,,,,,,,,,,,
4006,岩石诅咒,,,,,,4007,4005,,,,,,,,,,0,1,1,,,,1,,,0,22,,,,52220,52766,,4000,46000,,400,,,,,fuzhushi1:1@zhuangbeisuipian:10,,4,4003,,,,,,N_副本传送点4,1,,,,,,,,,,,,,,,,,,,,,,,
4007,辅助宝石,,,,,,4008,4006,,210003,,,,,,,,0,1,0,,,1,1,,,0,22,,,,54502,54503,,4000,45000,,,,,,,,,4,803,,,,,,N_战前传送阵,1,,,,,zhuangbei_xiangqian_fuzhushi,,,,,,,,,,,,,,,,,,
4008,山路栈道,,,,,,4013,4007,,,,,,,,,,0,1,0,,,,1,,,0,23,,N_艾尔希娅（山脉之旅）,,52230,52767,,4500,45000,,400,,,,,,,4,4004,,,,,,N_副本传送点4,1,,,,,,,,,,,,,,,,,,,,,,,
4013,蜘蛛洞穴,,,,,,4009,4008,,200200,,guide_dailytaks_guide2,,,,,,0,1,0,,,1,1,,,0,23,,,,51001,51002,,4500,29000,,,,,,,,,,,,,,,,,1,,,,,OpenZhiZhuDong,,,,,,,,,,,,,,,,,,
4009,装备强化,,,,,,4010,4013,,220701,,,,,,,,0,1,0,,,1,1,,,0,23,,N_艾尔希娅（山脉之旅）,,54504,54505,,4500,29000,,,,,,,,,4,803,,,,,,N_战前传送阵,1,,,,,qianghuawuqi_15,,,,,,,,,,,,,,,,,,
4010,石头巨人,,,,,,4011,4009,,,,,guide_gaojilanzhuanchoujiang,,,,,0,0,0,,,,1,,,0,24,N_艾尔希娅（山脉之旅）,N_艾尔希娅（山脉之旅）,,52240,52768,,5000,29000,,500,,,,,,,4,4005,,,,,,N_副本传送点4,1,,,,,,,,,,,,,,,,,,,,,,,
4011,装备升星,,,,,,4012,4010,,220801,,,,,,,,0,1,1,,,1,1,,,0,24,,,,54506,54507,,5000,29000,,,,,,,,,4,803,,,,,,N_战前传送阵,1,,,,,shengxingwuqi_5,,,,,,,,,,,,,,,,,,
4012,隐藏危机,,,,,,4014,4011,200101,,,chibang_open_guide,guide_equip_inlay_jingshi,function_chibang,,,,1,0,0,,,,1,,,0,25,N_艾尔希娅（山脉之旅）,N_艾尔希娅（山脉之旅）,,50327,50328,,2000,29000,,,,,,,,1:huoyanjingshi1:1@2:bingshuangjingshi1:1@3:leitingjingshi1:1@4:andujingshi1:1@,4,803,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
4014,精英副本,,,,,,4015,4012,,220602,,,,,,,,0,1,0,,,1,1,,,0,25,,,,58279,58206,,5000,22000,,,,,,,,,,3006,,,,,,,1,,,,,open_page_fuben,,,,,,,,,,,,,,,,,,
4015,危险试炼,,,,,,4016,4014,,200300,,,,,,,,0,1,0,,,1,1,,,0,25,,,,55205,55207,,5000,22000,,,,,,,,,,,,,,,,,1,,,,,open_page_shilianzhidi,,,,,,,,,,,,,,,,,,
4016,精灵喂养,,,,,,4017,4015,,110000,,,,,,,,0,1,0,,,1,1,,,0,25,,,,50785,56051,,5000,22000,,,,,,,,,,,,,,,,,1,,,,,guide_openspiritpage,,,,,,,,,,,,,,,,,,
4017,困难本1-1,,,,,,4018,4016,,230201,,,,,,,,0,1,0,,,1,1,,,0,25,,,,50720,50721,,5000,22000,,,,,,,,,1,1101,,,,,,N_副本传送点1,1,,,,,,,,,,,,,,,,,,,,,,,
4018,困难本1-2,,,,,,4019,4017,,230202,,,,,,,,0,1,0,,,1,1,,,0,25,,,,50720,50722,,5000,22000,,,,,,,,,1,1102,,,,,,N_副本传送点1,1,,,,,,,,,,,,,,,,,,,,,,,
4019,困难本1-3,,,,,,4020,4018,,230203,,,,,,,,0,1,0,,,1,1,,,0,25,,,,50720,50723,,5000,22000,,,,,,,,,1,1103,,,,,,N_副本传送点1,1,,,,,,,,,,,,,,,,,,,,,,,
4020,困难本1-4,,,,,,4021,4019,,230204,,,,,,,,0,1,0,,,1,1,,,0,25,,,,50720,50724,,5000,22000,,,,,,,,,1,1104,,,,,,N_副本传送点1,1,,,,,,,,,,,,,,,,,,,,,,,
4021,困难本1-5,,,,,,5000,4020,,230205,,,,,,,,0,1,0,,,1,1,,,0,25,,,,50720,50725,,5000,22000,,,,,,,,,1,1105,,,,,,N_副本传送点1,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5000,进入山谷,,,,,,5006,4021,,,,,guide_yuyi_jinlging_say,,,,,1,1,0,,,,1,,,0,25,,N_艾尔希娅（岩石山谷）,,52710,52770,,3000,22000,,,,,,,,,5,804,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
5006,无尽之塔,,,,,,5003,5000,,220202,,,,,,,,0,1,0,,,1,1,,,0,26,,,,54508,54509,,4500,22000,,,,,,,,,0,1000,,,,,,N_通天塔守护者,1,,,,,,,,,,,,,,,,,,,,,,,
5003,山谷入口,,,,,,5004,5006,,210007,,,guide_shellout5003talk,,,,,0,1,0,,,,1,,,0,26,,N_艾尔希娅（岩石山谷）,,52250,52771,,3500,22000,,500,,,,,,,5,5001,,,,,,N_副本传送点5,1,,,,,,,,,,,,,,,,,,,,,,,
5004,拦路巨石,,,,,,5005,5003,,,,,,,,,,0,1,1,,,,1,,,0,26,,,,52260,52772,,4000,22000,,500,,,,,,,5,5002,,,,,,N_副本传送点5,1,,,,,,,,,,,,,,,,,,,,,,,
5005,深入山谷,,,,,,5007,5004,,220912,,,,,,,,0,1,0,,,,1,,,0,26,,N_艾尔希娅（岩石山谷）,,52270,52773,,4500,22000,,500,,,,,,,5,5003,,,,,,N_副本传送点5,1,,,,,,,,,,,,,,,,,,,,,,,
5007,山谷精怪,,,,,,5008,5005,,,,,,,,,,0,1,0,,,,1,,,0,26,,N_艾尔希娅（岩石山谷）,,52280,52774,,5000,22000,,500,,,,,,,5,5004,,,,,,N_副本传送点5,1,,,,,,,,,,,,,,,,,,,,,,,
5008,有进无出,,,,,,5009,5007,,,,,,,,,,0,1,0,,,,1,,,0,26,,N_艾尔希娅（岩石山谷）,,52290,52775,,5500,22000,,500,,,,,,,5,5005,,,,,,N_副本传送点5,1,,,,,,,,,,,,,,,,,,,,,,,
5009,岩石魔王,,,,,,5012,5008,,,,,,,,,,0,1,0,,,,1,,,0,26,,N_艾尔希娅（岩石山谷）,,52300,52776,,6000,22000,,600,,,,,,,5,5006,,,,,,N_副本传送点5,1,,,,,,,,,,,,,,,,,,,,,,,
5012,精英副本,,,,,,5013,5009,,220605,,,,,,,,0,1,0,,,1,1,,,0,26,,,,58279,58209,,5000,16000,,,,,,,,,,4006,,,,,,,1,,,,,open_page_fuben,,,,,,,,,,,,,,,,,,
5013,羽翼传说,,,,,,5010,5012,120000,,,,,,,,,0,1,0,,,1,1,,,0,26,,,,56049,56050,,5000,16000,,,,,,,,,,,,,,,,,1,,,,,open_page_yuyi,,,,,,,,,,,,,,,,,,
5010,活跃度,,,,,,5014,5013,,120002,,,,,,,,1,0,0,,,,1,,,0,26,N_艾尔希娅（岩石山谷）,N_艾尔希娅（岩石山谷）,,54516,54517,,6000,16000,,,,,,,,,5,804,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
5014,困难本2-1,,,,,,5015,5010,,230206,,,,,,,,0,1,0,,,1,1,,,0,26,,,,50720,50726,,6000,16000,,,,,,,,,2,2101,,,,,,N_副本传送点2,1,,,,,,,,,,,,,,,,,,,,,,,
5015,困难本2-2,,,,,,5016,5014,,230207,,,,,,,,0,1,0,,,1,1,,,0,26,,,,50720,50727,,6000,16000,,,,,,,,,2,2102,,,,,,N_副本传送点2,1,,,,,,,,,,,,,,,,,,,,,,,
5016,困难本2-3,,,,,,5017,5015,,230208,,,,,,,,0,1,0,,,1,1,,,0,26,,,,50720,50728,,6000,16000,,,,,,,,,2,2103,,,,,,N_副本传送点2,1,,,,,,,,,,,,,,,,,,,,,,,
5017,困难本2-4,,,,,,5018,5016,,230209,,,,,,,,0,1,0,,,1,1,,,0,26,,,,50720,50729,,6000,16000,,,,,,,,,2,2104,,,,,,N_副本传送点2,1,,,,,,,,,,,,,,,,,,,,,,,
5018,困难本2-5,,,,,,5011,5017,,230210,,,,,,,,0,1,0,,,1,1,,,0,26,,,,50720,50730,,6000,16000,,,,,,,,,2,2105,,,,,,N_副本传送点2,1,,,,,,,,,,,,,,,,,,,,,,,
5011,山谷向导,,,,,,6000,5018,,,,,,,,,,1,1,0,,,,1,,,0,26,,N_艾尔希娅（岩石山谷）,,52310,52313,,6500,16000,,,,,,,,,5,804,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000,艾尔莎,,,,,,6010,5011,,140000,,,,,,,,1,0,0,,,,1,,,0,26,N_艾尔希娅（岩石山谷）,N_艾尔莎（圣加海岸）,,52320,52778,,3500,16000,,,,,,,xilianfuwen:10,1:r_30_3_weapon:1@2:lz_30_3_weapon:1@3:l_30_3_weapon:1@4:j_30_3_weapon:1@,6,805,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
6010,转职通知,,,,,,6003,6000,100008,130000,,,guide_zhuanzhipage_preshow,,,,,1,1,0,,,,1,,,0,30,,导师,,50556,50557,,6000,16000,,,,,,,yongzhezhizheng:1:1:0:140@chongshengshi:1,,0,1113,,,,,,导师,1,,,,,,,,,,,,,,,,,,,,,,,
6003,日落之地,,,,,,6004,6010,,100007,,,,,,,,0,0,0,,,,1,,,0,30,N_艾尔莎（圣加海岸）,N_艾尔莎（圣加海岸）,,51056,52779,,4000,16000,,600,,,,,yongzhezhizheng:1:1:0:140,,6,6001,,,,,,N_副本传送点6,1,,,,,,,,,,,,,,,,,,,,,,,
6004,巨浪来袭,,,,,,6005,6003,,,,,,,,,,0,1,0,,,,1,,,0,30,,N_艾尔莎（圣加海岸）,,51056,52780,,4500,16000,,600,,,,,yongzhezhizheng:1:1:0:140,,6,6002,,,,,,N_副本传送点6,1,,,,,,,,,,,,,,,,,,,,,,,
6005,寻找宝藏,,,,,,6006,6004,,,,,,,,,,0,1,0,,,,1,,,0,30,,N_艾尔莎（圣加海岸）,,51056,52781,,5000,16000,,600,,,,,yongzhezhizheng:1:1:0:140,,6,6003,,,,,,N_副本传送点6,1,,,,,,,,,,,,,,,,,,,,,,,
6006,海岸魔怪,,,,,,6007,6005,,,,,,,,,,0,1,0,,,,1,,,0,30,,N_艾尔莎（圣加海岸）,,51056,52782,,5500,16000,,600,,,,,yongzhezhizheng:1:1:0:140,,6,6004,,,,,,N_副本传送点6,1,,,,,,,,,,,,,,,,,,,,,,,
6007,风暴前夕,,,,,,6008,6006,,,,,,,,,,0,1,0,,,,1,,,0,30,,N_艾尔莎（圣加海岸）,,51056,52783,,6000,16000,,600,,,,,yongzhezhizheng:1:1:0:140,,6,6005,,,,,,N_副本传送点6,1,,,,,,,,,,,,,,,,,,,,,,,
6008,迷失海岸,,,,,,6011,6007,,,,,,,,,,0,1,0,,,,1,,,0,30,,N_艾尔莎（圣加海岸）,,51056,52784,,6500,16000,,700,,,,,yongzhezhizheng:1:1:0:140,,6,6006,,,,,,N_副本传送点6,1,,,,,,,,,,,,,,,,,,,,,,,
6011,精英副本,,,,,,6012,6008,,220608,,,,,,,,0,1,0,,,1,1,,,0,30,,,,58279,58212,,6500,19000,,,,,,,,,,5007,,,,,,,1,,,,,open_page_fuben,,,,,,,,,,,,,,,,,,
6012,困难本3-1,,,,,,6013,6011,,230211,,,,,,,,0,1,0,,,1,1,,,0,30,,,,50720,50731,,6500,19000,,,,,,,,,3,3101,,,,,,N_副本传送点3,1,,,,,,,,,,,,,,,,,,,,,,,
6013,困难本3-2,,,,,,6014,6012,,230212,,,,,,,,0,1,0,,,1,1,,,0,30,,,,50720,50732,,6500,19000,,,,,,,,,3,3102,,,,,,N_副本传送点3,1,,,,,,,,,,,,,,,,,,,,,,,
6014,困难本3-3,,,,,,6015,6013,,230213,,,,,,,,0,1,0,,,1,1,,,0,30,,,,50720,50733,,6500,19000,,,,,,,,,3,3103,,,,,,N_副本传送点3,1,,,,,,,,,,,,,,,,,,,,,,,
6015,困难本3-4,,,,,,6016,6014,,230214,,,,,,,,0,1,0,,,1,1,,,0,30,,,,50720,50734,,6500,19000,,,,,,,,,3,3104,,,,,,N_副本传送点3,1,,,,,,,,,,,,,,,,,,,,,,,
